,Topic,Topic_words,Probability_of_word_in_topic
0,0,london,0.19814028956565152
1,0,cambridge,0.15582875686470293
2,0,oxford,0.11857214178731902
3,0,vol,0.08980279580629057
4,0,ed,0.07220419370943584
5,0,macmillan,0.029331003494757864
6,0,equality,0.021342985521717425
7,0,palgrave,0.015664003994008985
8,0,australia,0.01510234648027958
9,0,lse,0.014603095356964553
10,1,association,0.07794005064483835
11,1,chicago,0.06851775513809552
12,1,harvard,0.061657146222248396
13,1,relation,0.05588599022436841
14,1,organization,0.04293033390259702
15,1,california,0.039308639067192744
16,1,2002,0.03777751604734703
17,1,princeton,0.03548083151757847
18,1,columbia,0.03294858960014133
19,1,washington,0.029032448030151346
20,2,work,0.05826812697322047
21,2,also,0.047232900730350726
22,2,one,0.0396095318765808
23,2,year,0.031512293940991455
24,2,became,0.020826546145963524
25,2,later,0.020370447154712333
26,2,many,0.01804848865379717
27,2,well,0.013286104381511997
28,2,part,0.012912932479579205
29,2,called,0.009832783447752971
30,3,life,0.03975356300325593
31,3,idea,0.028591760737751264
32,3,woman,0.026027958121307832
33,3,known,0.02216763174825993
34,3,view,0.021280536546372658
35,3,thought,0.02104657737224854
36,3,modern,0.017790645532354606
37,3,concept,0.017780897233432767
38,3,form,0.017420210173324756
39,3,process,0.01682556393909263
40,4,social,0.09571943228344224
41,4,theory,0.08480762502718496
42,4,book,0.07092674716567225
43,4,science,0.07043505394441975
44,4,study,0.06994336072316726
45,4,research,0.06574505706478058
46,4,press,0.060043306826025704
47,4,society,0.05660145427725824
48,4,–,0.05503181822479836
49,4,published,0.04325009219247899
50,5,school,0.044024569481849
51,5,world,0.04305606293593414
52,5,member,0.027653410587305766
53,5,article,0.02003279329181782
54,5,including,0.019268182860832407
55,5,interest,0.018834903616607338
56,5,position,0.01607381039360446
57,5,served,0.014629546246187567
58,5,degree,0.013771483429192826
59,5,role,0.013754492086282039
60,6,isbn,0.08610708117443869
61,6,journal,0.0568566493955095
62,6,review,0.039488773747841106
63,6,award,0.029084628670120898
64,6,fellow,0.027592400690846286
65,6,director,0.021499136442141624
66,6,academy,0.021430051813471504
67,6,center,0.020310880829015544
68,6,2005,0.019647668393782382
69,6,2003,0.01699481865284974
70,7,anthropology,0.1110886825460907
71,7,anthropologist,0.046898129457677296
72,7,indian,0.044677701520656705
73,7,anthropological,0.029067420266451354
74,7,louis,0.02846184901090028
75,7,museum,0.024761135782532633
76,7,native,0.022002422285022204
77,7,region,0.021935136589960973
78,7,site,0.020320279908491456
79,7,primitive,0.016888709460368724
80,8,american,0.1195504624806642
81,8,political,0.10998516273637024
82,8,state,0.10057770622218012
83,8,united,0.045821889699150804
84,8,born,0.043406888278561734
85,8,received,0.03624080563184645
86,8,academic,0.029311487830286958
87,8,january,0.019367364333743725
88,8,october,0.01927265839568141
89,8,april,0.01793099093979859
90,9,america,0.06717025511127193
91,9,peace,0.040256920571738734
92,9,south,0.03709064592002895
93,9,latin,0.02560159218382486
94,9,israel,0.023792292382847836
95,9,court,0.02234485254206622
96,9,chinese,0.020580785236113622
97,9,leadership,0.020037995295820517
98,9,regime,0.01886195042518545
99,9,spanish,0.01524335082323141
100,10,human,0.1125811360601261
101,10,individual,0.06543681480791329
102,10,scientific,0.04661635454517221
103,10,man,0.04400757787508929
104,10,nature,0.043852293549489114
105,10,mind,0.03577750861828007
106,10,practice,0.03236125345507625
107,10,meaning,0.024472809714587408
108,10,object,0.024006956737786887
109,10,evolution,0.022733625267865463
110,11,time,0.030364883632843735
111,11,first,0.029617861201127898
112,11,two,0.018996464795252726
113,11,early,0.011773494381549598
114,11,could,0.011426286772442238
115,11,made,0.010931778965531753
116,11,way,0.01092125752283153
117,11,problem,0.010432010437271159
118,11,among,0.00974811666175666
119,11,however,0.009616598628003872
120,12,government,0.16094960265566843
121,12,nation,0.07237702444422091
122,12,foreign,0.060607584750025145
123,12,europe,0.053918116889648926
124,12,liberal,0.045770043255205714
125,12,china,0.0333970425510512
126,12,land,0.03249170103611307
127,12,liberty,0.03188814002615431
128,12,citizen,0.022080273614324516
129,12,vietnam,0.02112463534855648
130,13,people,0.05078402366863905
131,13,family,0.03603550295857988
132,13,wrote,0.03545857988165681
133,13,order,0.026124260355029585
134,13,death,0.02371301775147929
135,13,influence,0.023698224852071004
136,13,married,0.017736686390532545
137,13,belief,0.015902366863905327
138,13,written,0.015769230769230768
139,13,william,0.015177514792899409
140,14,capital,0.04618400505033724
141,14,trade,0.04392464365219125
142,14,free,0.042429478021065226
143,14,labor,0.03648204139947503
144,14,price,0.0332591288168256
145,14,production,0.031032993321593514
146,14,labour,0.02661394823404326
147,14,industrial,0.025351363923314617
148,14,money,0.02425490912715553
149,14,cost,0.02405555370967206
150,15,knowledge,0.1278691961010376
151,15,symbolic,0.03427313698773714
152,15,trans,0.02945183942982916
153,15,kant,0.0182370820668693
154,15,phenomenology,0.012682108793627503
155,15,metaphysics,0.01226286552772246
156,15,heidegger,0.01226286552772246
157,15,postmodern,0.01205324389476994
158,15,gesture,0.01184362226181742
159,15,imaginary,0.01173881144534116
160,16,sociology,0.33770399018960473
161,16,culture,0.21469672672389398
162,16,cultural,0.1501745118385058
163,16,sociological,0.11319686821997925
164,16,sociologist,0.09517970002829922
165,16,ruth,0.012734647674747666
166,16,criminology,0.007263465710782002
167,16,stratification,0.006980473540232054
168,16,relativism,0.00594283558154891
169,16,deviance,0.005659843410998963
170,17,community,0.04672933957440113
171,17,race,0.03524367698540692
172,17,african,0.028596153089721906
173,17,job,0.023443338709042992
174,17,africa,0.02293199071706722
175,17,black,0.021201274436533846
176,17,film,0.020571923061794437
177,17,racial,0.016441804665067065
178,17,crime,0.015379774220194313
179,17,white,0.01408173700979428
180,18,would,0.07186819726559442
181,18,great,0.023256542370757836
182,18,said,0.022363867007031777
183,18,support,0.01896543623635538
184,18,day,0.015817581006374017
185,18,reason,0.014987549527821716
186,18,argues,0.01313955491519584
187,18,cause,0.01309257200131552
188,18,leading,0.012935962288381125
189,18,argument,0.011463830986797801
190,19,war,0.09382071829823486
191,19,party,0.05404541945102633
192,19,election,0.028699981363648465
193,19,house,0.028407124410958176
194,19,leader,0.024759724181997286
195,19,union,0.023588296371236123
196,19,minister,0.021751284577087936
197,19,russian,0.021671414499081495
198,19,civil,0.02079284364101062
199,19,soviet,0.020074012938952637
200,20,behavior,0.05854896822797249
201,20,learning,0.03635768096953816
202,20,factor,0.0311578774975434
203,20,intelligence,0.030994104159842776
204,20,test,0.03050278414674091
205,20,ability,0.026490337373075663
206,20,higher,0.025425810678021618
207,20,colleague,0.023255813953488372
208,20,measure,0.021372420569931216
209,20,behavioral,0.021003930560104814
210,21,international,0.21918417799752782
211,21,national,0.15678615574783683
212,21,college,0.13948084054388132
213,21,global,0.07030902348578492
214,21,board,0.06595797280593325
215,21,committee,0.0519159456118665
216,21,yale,0.05072929542645241
217,21,advisor,0.021755253399258344
218,21,advisory,0.019134734239802224
219,21,aid,0.01750309023485785
220,22,paul,0.07110108434611746
221,22,environmental,0.02306964558620188
222,22,energy,0.021905247070809986
223,22,climate,0.020085874390510152
224,22,contract,0.01870315115348228
225,22,incentive,0.0173932028236664
226,22,australian,0.01717487810203042
227,22,swedish,0.017029328287606435
228,22,margaret,0.01695655338039444
229,22,ireland,0.01608325449385052
230,23,law,0.1252576611240896
231,23,property,0.04933351655902157
232,23,von,0.04898996839356878
233,23,vienna,0.028102239934038754
234,23,sir,0.023773533049333516
235,23,austrian,0.0232925656176996
236,23,treatise,0.018070633502817096
237,23,libertarian,0.015940634877009755
238,23,lord,0.014841280747560808
239,23,defended,0.011543218359213962
240,24,’,0.3586776859504132
241,24,”,0.28234410217881295
242,24,“,0.26296018031555224
243,24,‘,0.07392937640871525
244,24,dialogical,0.006311044327573253
245,24,bartolomeo,0.004357625845229151
246,24,globalizing,0.002404207362885049
247,24,nijmegen,0.002253944402704733
248,24,hjm,0.002253944402704733
249,24,algorithmic,0.0021036814425244178
250,25,personality,0.03385351120060408
251,25,mental,0.030245825992113434
252,25,medical,0.02462454903934894
253,25,sexual,0.019464720194647202
254,25,psychoanalysis,0.019422770366641497
255,25,patient,0.01757697793439047
256,25,therapy,0.017115529826327712
257,25,medicine,0.01652823223424784
258,25,clinical,0.016318483094219315
259,25,hospital,0.014220991693934055
260,26,right,0.05542483660130719
261,26,movement,0.047959331880900506
262,26,revolution,0.0388961510530138
263,26,conflict,0.029774872912127815
264,26,freedom,0.025301379811183734
265,26,jewish,0.02291938997821351
266,26,western,0.022657952069716776
267,26,justice,0.019927378358750907
268,26,historian,0.01812636165577342
269,26,writer,0.018097312999273783
270,27,child,0.09758593915437284
271,27,relationship,0.049622361826780544
272,27,mother,0.03794028375802922
273,27,moral,0.0369873650031764
274,27,sense,0.027175831156913955
275,27,stage,0.02467000776452319
276,27,body,0.024352368179572245
277,27,ethic,0.021458318627796992
278,27,love,0.019481894543657795
279,27,animal,0.018705442224888826
280,28,policy,0.08841874970907229
281,28,public,0.07522226877065587
282,28,president,0.06169994879672299
283,28,council,0.02488013778336359
284,28,former,0.021901038030070288
285,28,company,0.021412279476795606
286,28,affair,0.01982963273285854
287,28,administration,0.018805567192663967
288,28,security,0.016827258762742634
289,28,commission,0.01477912768235349
290,29,translated,0.06440649163055484
291,29,routledge,0.053275554422635735
292,29,italian,0.04273940011895658
293,29,frankfurt,0.02837964143087773
294,29,karl,0.02812473447191775
295,29,italy,0.027444982581357805
296,29,polity,0.021412184552638287
297,29,modernity,0.021072308607358314
298,29,blackwell,0.019202990908318465
299,29,del,0.016908828277678648
300,30,university,0.2909860955729583
301,30,new,0.15935751957807257
302,30,professor,0.08037398114112194
303,30,york,0.07145596931436791
304,30,department,0.030957327792871983
305,30,2008,0.027121623781364873
306,30,phd,0.026066805178200415
307,30,2006,0.02450055937350168
308,30,2009,0.02450055937350168
309,30,2007,0.024116988972350966
310,31,paris,0.10044604066500608
311,31,french,0.09859236517407172
312,31,france,0.06209812894630134
313,31,de,0.05410415339164688
314,31,sur,0.011469617100156404
315,31,école,0.010021433122863929
316,31,«,0.006835428372820483
317,31,sociologie,0.006777501013728784
